name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2016-03-12T00:00:00,39.4,37.4,32,74.52,0,0,,0,0,,3.3,172,1025.2,87,9.9,,,,,Partially cloudy,partly-cloudy-night,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T01:00:00,40.3,38.4,31.9,71.58,0,0,,0,0,,3.3,161,1024.2,87,9.9,,,,,Partially cloudy,partly-cloudy-night,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T02:00:00,40.4,40.4,33.8,77.31,0,0,,0,0,,0.5,34,1023.5,87,8.7,,,,,Partially cloudy,partly-cloudy-night,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T03:00:00,40.4,38.5,35.8,83.41,0,0,,0,0,,3.3,162,1022.8,89,6.3,,,,,Partially cloudy,partly-cloudy-night,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T04:00:00,39.2,39.2,34.9,84.11,0,0,,0,0,,0,0,1023,51.1,4,,,,,Partially cloudy,partly-cloudy-night,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T05:00:00,39.3,39.3,34.9,83.84,0,0,,0,0,,0,0,1022.7,88.2,3.6,,,,,Partially cloudy,partly-cloudy-night,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T06:00:00,40.2,37.4,35.6,83.33,0,0,,0,0,,4.1,104,1022.5,90.2,2.7,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T07:00:00,40.5,40.5,37.7,89.65,0,0,,0,0,,2.9,0,1022.8,90.2,2.6,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T08:00:00,42.8,41.2,39,86.37,0,0,,0,0,,3.4,210,1023.1,97.7,2.5,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T09:00:00,47,44.8,41.3,80.3,0,0,,0,0,,4.9,201,1023.4,97.7,3.7,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T10:00:00,50,50,42.3,74.88,0,0,,0,0,,0,0,1022.5,97.7,5.1,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T11:00:00,55.7,55.7,43.2,62.69,0,0,,0,0,,0.1,1,1021.8,87,6.3,,,,,Partially cloudy,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T12:00:00,57.7,57.7,43.2,58.45,0,0,,0,0,,4.7,47,1020.2,87,6.9,,,,,Partially cloudy,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T13:00:00,59,59,42.3,53.92,0,0,,0,0,,9.8,52,1019,88.2,7.1,,,,,Partially cloudy,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T14:00:00,56.2,56.2,42.4,59.82,0,0,,0,0,,10,70,1018.5,89.3,6.9,,,,,Partially cloudy,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T15:00:00,55.3,55.3,42.9,62.97,0,0,,0,0,,9.3,63,1018,100,7.1,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T16:00:00,53.1,53.1,43,68.42,0,0,,0,0,,11.1,80,1018.1,100,7.1,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T17:00:00,52,52,42.4,69.59,0,0,,0,0,,7,79,1018.1,100,6.8,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T18:00:00,51,51,42.4,72.25,0,0,,0,0,,9.7,80,1017.9,99.8,6.8,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T19:00:00,49.9,47.8,42.3,74.8,0,0,,0,0,,5.6,40,1017.6,100,6.8,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T20:00:00,48.8,45.8,41.2,75.04,0,0,,0,0,,6.7,85,1017.2,100,9.6,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T21:00:00,48.8,47,41.2,75.02,0,0,,0,0,,4.7,69,1016.5,100,9.6,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T22:00:00,48.8,45.3,41.2,75.01,0,0,,0,0,,7.8,50,1015.8,100,9.7,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-12T23:00:00,49.8,47.1,40.1,69.14,0,0,,0,0,,6.7,77,1015.1,100,9.7,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-13T00:00:00,48.7,46.2,40,71.72,0,0,,0,0,,5.8,59,1014.6,100,9.7,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-13T01:00:00,49.6,46.4,39.1,67.06,0,0,,0,0,,7.9,57,1014.1,100,8.5,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-13T03:00:00,48.5,46.6,41,75.13,0,0,,0,0,,4.8,56,1013.5,100,7.9,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
chicago,2016-03-13T04:00:00,47.8,45.8,40.9,76.9,0,0,,0,0,,4.8,85,1012.8,100,8.1,,,,,Overcast,cloudy,"72534014819,72212604879,KORD,KMDW,72530094846"
